epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73251,1.7208,3.36696,1.5068,0.04889,0.66165,0.09409,0.05581,1.03815,3.05888,1.01472,0,0,0
2,7.12787,1.53398,3.10571,1.40809,0.04944,0.66917,0.11002,0.06704,1.02678,3.05502,1.01138,1.9604e-05,1.9604e-05,1.9604e-05
3,10.3874,1.75591,3.23363,1.47984,0.05111,0.69173,0.14268,0.09134,1.00303,3.05161,1.00087,3.8416e-05,3.8416e-05,3.8416e-05
4,13.9731,1.65672,3.20744,1.29644,0.05333,0.7218,0.19522,0.13285,0.97504,3.04453,0.9898,5.6436e-05,5.6436e-05,5.6436e-05
5,17.5284,1.44934,3.29488,1.22514,0.05722,0.77444,0.22572,0.16237,0.94163,3.02917,0.96758,7.3664e-05,7.3664e-05,7.3664e-05
6,21.1007,1.3002,3.15492,1.32458,0.05889,0.79699,0.24956,0.18894,0.91575,3.00735,0.94808,9.01e-05,9.01e-05,9.01e-05
7,24.2731,1.25243,3.01489,1.20021,0.06111,0.82707,0.27988,0.19715,0.90379,2.96512,0.92386,0.000105744,0.000105744,0.000105744
8,27.3291,1.19341,2.83627,1.22564,0.06889,0.93233,0.37791,0.24078,0.88164,2.91616,0.89462,0.000120596,0.000120596,0.000120596
9,30.6342,1.04868,2.98969,1.19191,0.07333,0.99248,0.45303,0.29167,0.87074,2.84781,0.87495,0.000134656,0.000134656,0.000134656
10,33.7902,0.97705,2.51473,1.07161,0.07333,0.99248,0.48618,0.32584,0.8812,2.77745,0.8593,0.000147924,0.000147924,0.000147924
11,37.0193,1.02897,2.62277,1.08407,0.07389,1,0.51668,0.36648,0.88711,2.6983,0.84637,0.0001604,0.0001604,0.0001604
12,40.1343,0.94487,2.08203,0.9734,0.07389,1,0.50242,0.36129,0.88209,2.63555,0.84647,0.000172084,0.000172084,0.000172084
13,43.3111,1.15113,2.01363,1.03674,0.07389,1,0.48865,0.36014,0.86976,2.57806,0.84907,0.000182976,0.000182976,0.000182976
